byte: 3 | bit: 36 | key guess: 4d | Cor: 0.333333 ==> correct key: 0.274471
byte: 3 | bit: 37 | key guess: 00 | Cor: 0.336441 ==> correct key: 0.336441
byte: 3 | bit: 38 | key guess: 64 | Cor: 0.298897 ==> correct key: 0.281801
byte: 3 | bit: 39 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 3 | bit: 40 | key guess: f0 | Cor: 0.323477 ==> correct key: 0.236907
byte: 3 | bit: 41 | key guess: 00 | Cor: 0.328768 ==> correct key: 0.328768
byte: 3 | bit: 42 | key guess: 37 | Cor: 0.307698 ==> correct key: 0.298471
byte: 3 | bit: 43 | key guess: 00 | Cor: 0.312500 ==> correct key: 0.312500
byte: 3 | bit: 44 | key guess: 7d | Cor: 0.293493 ==> correct key: 0.233884
byte: 3 | bit: 45 | key guess: 00 | Cor: 0.273646 ==> correct key: 0.273646
byte: 3 | bit: 46 | key guess: 40 | Cor: 0.370815 ==> correct key: 0.370815
byte: 3 | bit: 47 | key guess: 00 | Cor: 0.266439 ==> correct key: 0.266439
byte: 3 | bit: 48 | key guess: 40 | Cor: 0.311307 ==> correct key: 0.311307
byte: 3 | bit: 49 | key guess: 00 | Cor: 0.259153 ==> correct key: 0.259153
byte: 3 | bit: 50 | key guess: de | Cor: 0.307360 ==> correct key: 0.275517
byte: 3 | bit: 51 | key guess: 00 | Cor: 0.336194 ==> correct key: 0.336194
byte: 3 | bit: 52 | key guess: 04 | Cor: 0.309172 ==> correct key: 0.263511
byte: 3 | bit: 53 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 3 | bit: 54 | key guess: 4d | Cor: 0.333333 ==> correct key: 0.274471
byte: 3 | bit: 55 | key guess: 00 | Cor: 0.320401 ==> correct key: 0.320401
byte: 3 | bit: 56 | key guess: 64 | Cor: 0.298897 ==> correct key: 0.281801
byte: 3 | bit: 57 | key guess: 00 | Cor: 0.265657 ==> correct key: 0.265657
byte: 3 | bit: 58 | key guess: f0 | Cor: 0.323477 ==> correct key: 0.236907
byte: 3 | bit: 59 | key guess: 00 | Cor: 0.242372 ==> correct key: 0.242372
byte: 3 | bit: 60 | key guess: 37 | Cor: 0.307698 ==> correct key: 0.298471
byte: 3 | bit: 61 | key guess: 00 | Cor: 0.382824 ==> correct key: 0.382824
byte: 3 | bit: 62 | key guess: 7d | Cor: 0.293493 ==> correct key: 0.233884
byte: 3 | bit: 63 | key guess: 00 | Cor: 0.282494 ==> correct key: 0.282494
correct: 6/64

byte: 4 | bit: 0 | key guess: 00 | Cor: 0.243446 ==> correct key: 0.243446
byte: 4 | bit: 1 | key guess: 00 | Cor: 0.265755 ==> correct key: 0.265755
byte: 4 | bit: 2 | key guess: 00 | Cor: 0.281387 ==> correct key: 0.281387
byte: 4 | bit: 3 | key guess: 00 | Cor: 0.289780 ==> correct key: 0.289780
byte: 4 | bit: 4 | key guess: 00 | Cor: 0.273847 ==> correct key: 0.273847
byte: 4 | bit: 5 | key guess: 00 | Cor: 0.251106 ==> correct key: 0.251106
byte: 4 | bit: 6 | key guess: 00 | Cor: 0.297202 ==> correct key: 0.297202
byte: 4 | bit: 7 | key guess: 00 | Cor: 0.251976 ==> correct key: 0.251976
byte: 4 | bit: 8 | key guess: 00 | Cor: 0.250031 ==> correct key: 0.250031
